Unnamed: 0,Company,Rating,No_of_ratings,Review,Size,Processor,RAM,Memory,OpSys,Price,ImgURL,Product Link,
0,HP,4.2,253,20,14.17,AMD Ryzen 5 Hexa Core Processor,16,512 GB SSD,64 bit Windows 11,599.88,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70,https://www.amazon.com/HP-14-Hexa-Core-Processor-Bluetooth/dp/B0CW3DW4NC/ref=sr_1_3?crid=3E83G4TET66UK&dib=eyJ2IjoiMSJ9.krdTIF90nYzRi3YfIXFmMC2LgGFv2WUbDCxsEUXYUkC_hv7_TeW3eXCdmXHXbH2TKBePDt-WAoTJciDGti52nWlvpgz20nc8vEilHwSRt8l9g3cmYMgOloxk8_2WrR3npCcfUrf1NGBEVbqu0RqK6omnsHG2k1lxKpBPPRqbgXwh1-mF_Fd3Qskg-oqqD4L2EwKh8HlAxTviLyYyY9HWPZcDTPXP1qTWAZKDnyQKGUY.hpy8IHXahAe5DMhD49QZUFF9NV36-E1Rl47BWDmvn-E&dib_tag=se&keywords=HP+AMD+Ryzen+5+Hexa+Core+Processor&qid=1753150688&sprefix=hp+amd+ryzen+5+hexa+core+processor%2Caps%2C158&sr=8-3,
1,Lenovo,4.2,974,75,14.17,Intel Core i3 Processor (11th Gen),8,256 GB SSD,64 bit Windows 11,407.88,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70,https://www.amazon.com/Lenovo-Ideapad-Touchscreen-i3-1005G1-Processor/dp/B08B6F1NNR/ref=sr_1_3?crid=1FVHUG64GM0E1&dib=eyJ2IjoiMSJ9.bt03p5cU0uWf1zl-nSDAkbmwsLfaotwR9xclpNUWpZARXUGNojS83s4hfsn3qFpehiPzaYQrhckfaHuraX28rtOp1nevKe_j3a6N9QOgAVtAf4ls9EF5w84YAC8oWB3PSh3TvYC7Wp59D6VC00WJmR37eEsCMQfN7tHXDJ9m13MfLmWpSqclUdnDtMD4SB6ArGdao_AIM4dkwAuzsQ6K_0KkQcgmMury8RdybvBAnKfzGAK35VKurU8JWoLPqsaWNGZAt8TQKF1bF9-xHv2qIbMIpcnouZufqXfVkucTZqw.rFCrEK_tdd_S00qQFWivZ7d_hxA1nbXAvwze_zL2-io&dib_tag=se&keywords=Lenovo+Intel+Core+i3+Processor+%2811th+Gen%29&qid=1753214009&s=electronics&sprefix=lenovo+intel+core+i3+processor+11th+gen+%2Celectronics%2C120&sr=1-3 ,
3,DELL,4.1,332,26,15.75,"Intel Core i3-1115G4 (11th Gen, 2-Core, up to 4.10 GHz)",8,"Display: 15.6"" FHD WVA AG Narrow Border",Graphics & Keyboard: Integrated & Standard Keyboard,455.88,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/o/u/-original-imaghkk994ybh4fh.jpeg?q=70,https://www.amazon.com/Dell-New-Inspiron-15-3000/dp/B09F3TL5SD/ref=sr_1_1?crid=SXWPNILE0TRJ&dib=eyJ2IjoiMSJ9.CTUyrJgxjP5KZmbOoqbjqwWRMNbpnzKR9wxdFuBQwAH5rsbsESu0Tpq1LUp6EDAE98pnier3MNhVf1fYpls-SztPQGc89N6tSbafxg7UcE9Ol6S9LxG8666hPug7zOdZI-9YbD2RxlqNVT-_CJ8I3FXbZMG5x9KzEX7LsSHHTabEyB2bGCRgjHlLOmfTgeP4gnZtroYDk0qzemxtg5HzYGP97PBX0wyXChkSGtbCnHBlglbRydeOKIB2yuZRJcMZC5ShScwgKlcSma_U3DDfdQqPeJt74yN8MxonM9EBJb8.w_-uC5oIatqHnqwJ8iBykUkdPbH2kzdMKE4Nq8IIv5w&dib_tag=se&keywords=DELL+Intel+Core+i3-1115G4+%2811th+Gen%2C+2-Core%2C+up+to+4.10+GHz%29&qid=1753217347&s=electronics&sprefix=dell+intel+core+i3-1115g4+11th+gen%2C+2-core%2C+up+to+4.10+ghz+%2Celectronics%2C62&sr=1-1,
4,ASUS,4.2,487,53,15.75,Intel Core i3 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11,431.88,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70,https://www.amazon.com/ASUS-VivoBook-i3-1115G4-Processor-Bluetooth/dp/B0C541MHRX/ref=sr_1_3?crid=2RSDF3KABZZ44&dib=eyJ2IjoiMSJ9.EfReckpRREk0oF2ZQJbsw84wp7Eb8leLofHMYMzsH223nTC3aTbC5mW4JCOYHIWoyTAdSHVX7Bdv2uuTUZx6geDpbfHqXjTObHgxgbAlR-6EhmXG8EsDyq0S-xVuPGApPdyATw9RVsIdxdxa-GV7Svmd-MLWhJUWrexl9VCwMHZNToLjXUoFc0K6lRAanOR0R0_3FPtaT8xhBptzErHa5RBIDgUEn6RbO8gpLXDdjTmEBJ9BER2tBaFxEv6Fx3G1rkrq6OVN8LeIvvUdo4oXvmksKhm5ztVeqOLAy79_Hbo.YPreyamq_TDGU78OMU3WN6dj-T3ZMc--fyen2L27Ojc&dib_tag=se&keywords=ASUS+Intel+Core+i3+Processor+%2811th+Gen%29&qid=1753217401&s=electronics&sprefix=asus+intel+core+i3+processor+11th+gen+%2Celectronics%2C117&sr=1-3,
9,ASUS,4.1,1022,123,14.17,Intel Celeron Dual Core Processor,4,256 GB SSD,64 bit Windows 11,287.88,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,https://www.amazon.com/ASUS-14-Go-2024-HubxcelAccessory/dp/B0DFG8BFCF/ref=sr_1_9?crid=1ZTJ80JQ582LH&dib=eyJ2IjoiMSJ9.uj5JOkXXgSrWG90U3Mi_GzVpgnRsbkKtTGx1FIFDnManZIAmFRDCMRqQtmTZjrr_6kxi26Q8JF6bWn4iR6cd8OW7dFWZajibkBWNQ8sm7RJdY-L4fQGXxP-MxuDS23taA8N45kIgkxsBOA-HREYs9yF1cPN2snnU2B8nmPGOT7uGyEkrFksrXD6DsFZVtRHjTp06Fwk0pxRKzA7ki_gS_BVOkTKEEO4KwXrdOnureBazfBsmfTDMFme5fLVEa0g9gLQ4EbKRx3cDTm640KAui6jliBlVOoPclenAR5PKQT0.Xm-YM94vEUgpAUGALao7UYsQl-6IbbsNwU2fX4lYvj4&dib_tag=se&keywords=ASUS+Intel+Celeron+Dual+Core+Processor&qid=1753217466&s=electronics&sprefix=asus+intel+celeron+dual+core+processor%2Celectronics%2C77&sr=1-9,
12,ASUS,4.4,1134,138,17.32,AMD Ryzen 7 Octa Core Processor,8,512 GB SSD,64 bit Windows 11,815.88,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/z/2/c/-original-imagetjyhhtrtkdg.jpeg?q=70,https://www.amazon.com/ASUS-Desktop-Octa-core-Processor%EF%BC%8820M-4-6GHz%EF%BC%89/dp/B09JYM2SCN/ref=sr_1_9?crid=2T4HL044021O8&dib=eyJ2IjoiMSJ9.w3ZFKlGS5Pn1O5LGeqxFiPB7q-4MIRM_2OJQj3JZzOVbzaL46PeIRkx7u_fU9xlIVgTH2d8Effx5B95UJr4vfwSbe-zXI-udYqCXIeZc2kbN06cq54OoQOT2Orf3DW8kYJgcGgsrylIt3EZOWp4PDR9m0emRMMap67zHFpVsylKIhT2GmcW7lsxR-IPBF5__0nJmG5fsKP0xK-nLOh_CVafMV7EswBZPx23s2EBwQWY1dyMFudDaNpu6_2cql7wlo1S-T1m29yIauiRTM-sfujSKCDc-9-4WidKYaoGr4pY.HzOZ-C9ea5-yrQYwAOEOJil7w7m8B5kOyPdseErUu0A&dib_tag=se&keywords=ASUS+AMD+Ryzen+7+Octa+Core+Processor&qid=1753217554&refinements=p_n_feature_four_browse-bin%3A18107802011&rnid=676578011&s=electronics&sprefix=asus+amd+ryzen+7+octa+core+processor%2Celectronics%2C73&sr=1-9,
14,DELL,4.4,62,5,15.75,Intel i5-1235U (Base 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,8,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border",Graphics & Keyboard: Integrated & Backlit Keyboard+Fingerprint Reader,779.88,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1235U-i7-1165G7/dp/B0DP5KL3TH/ref=sr_1_3?crid=3SYLBH9ZP55F&dib=eyJ2IjoiMSJ9.qzLJFBzKKPpl0pt2AGbRJY9Hw7lF8Xc3XkXLRpAvL5xgQV721IkUlZmwDFwpO7D3OEYA7gegtMhegWaKTVtbYMAd-YeswoCMxRWY3tRdW_4.HkeQJvhZ1zYqSc0TDXM8xL3ld7rRZQngWhrQ3e2wqa4&dib_tag=se&keywords=Intel+i5-1235U+%28Base+3.30+GHz+%26+Turbo+up+to+4.40+GHz%29+10+Cores&qid=1753219744&refinements=p_n_feature_thirty-one_browse-bin%3A23716064011&rnid=23716050011&s=electronics&sprefix=intel+i5-1235u+base+3.30+ghz+%26+turbo+up+to+4.40+ghz+10+cores%2Celectronics%2C365&sr=1-3,
15,Lenovo,4.2,265,21,15.75,Intel Core i5 Processor (12th Gen),8,512 GB SSD,64 bit Windows 11,659.88,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70,https://www.amazon.com/Lenovo-Touchscreen-Intel-Processor-Accessories/dp/B0DPJVNDGP/ref=sr_1_4?crid=X844PLH0Z28W&dib=eyJ2IjoiMSJ9.ct-82nitJ4vb1nfrkrARzbVuPXmayUg1vGz8tdTX3FUIZcRbpolixRuhhj3te_LvDW3MSEabHi83Jhag4hlOB0Cunqto0baa-2vvxXalX6Hx9wUEdgxsfnqjw19p1ZDm0oRMyBLmxIlqZ4kaOwsSpLjLFNVkvaXDdX4dUvSOodZy47yHAb_FRJ-8jqO_0CLpOZwslC-0iQb9GxWOt_VzFZpgUokAzP1_TUlN9Hkc5m5WOs4q7Vlk_D9iZ6Pdy2VPDazWTNSqgufZ9u35MuB7IjMSg-GpggWlIqyb1xOCsBg.WsXx8O4zoruqj9tbLFTV3yoXRUm54JZK9DDlmfZsJQw&dib_tag=se&keywords=Lenovo+Intel+Core+i5+Processor+%2812th+Gen%29&qid=1753214249&s=electronics&sprefix=lenovo+intel+core+i5+processor+12th+gen+%2Celectronics%2C87&sr=1-4 ,
17,HP,4,907,87,14.17,AMD Athlon Dual Core Processor,8,256 GB SSD,64 bit Windows 11,305.99,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70,https://www.amazon.com/HP-Include-Processor-Ethernet-Recovery/dp/B0FBJ63Q64?th=1 ,
18,ASUS,4.3,11170,1101,15.75,Intel Core i3 Processor (10th Gen),8,512 GB SSD,64 bit Windows 11,419.88,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/1/7/-original-imag3ebnzawky4kn.jpeg?q=70,https://www.amazon.com/ASUS-Vivobook-i3-1005G1-Processor-Conference/dp/B09JDS5DQV/ref=sr_1_15?crid=300YN182ZNFQN&dib=eyJ2IjoiMSJ9.ql3-2tnHCnWA_ZCGa0dHmgvrk01u_--EErFsNgf33C3OnpZ0YFpFFEsGCqb7zF5id6gVy5Vx9UTQQEOCpRXc0viIOIerIcEr1YpcHE5rbz5WHDxqfsZBV-Vkxv6iMzO4x0Jlm7p9dCAwH4-amcW3c_f2aaRflhloOgniP8Y-ccqtQBnEuStQ1LuhB-V5PE6Rum5ZhZc0q6MwDsVQFvFn_OLV0ObxYiib112Nr7mvZ9jQElGj4F_UpbOmPSgrk7AotJfsBuLmqkfby-otEEGcT9JSs2vQzkgIZSNUm92N4Ik.CYm6cjBPHpVNprXbCIAfk_LwWwrlMDz9eXbImMwfFWs&dib_tag=se&keywords=ASUS+Intel+Core+i3+Processor+%2810th+Gen%29&qid=1753217737&s=electronics&sprefix=asus+intel+core+i3+processor+10th+gen+%2Celectronics%2C90&sr=1-15,
